,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
3,"<span class=""street-address"">912 N Morton St</span>, <span class=""locality"">Franklin</span>, <span class=""region"">IN</span> <span class=""postal-code"">46131</span>, <span class=""country-name"">USA</span>",La Cocina Mexican Restaurant,1.0,4.3,False,True,True,establishment,
0,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,meal_takeaway,
1,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,restaurant,
2,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,food,
3,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,bar,
4,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,point_of_interest,
5,"<span class=""street-address"">10243 E US Hwy 36</span>, <span class=""locality"">Avon</span>, <span class=""region"">IN</span> <span class=""postal-code"">46123</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.4,False,True,True,establishment,
0,"<span class=""street-address"">6916 E 30th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46219-1105</span>, <span class=""country-name"">USA</span>",His Place Eatery,1.0,4.5,True,True,True,restaurant,
1,"<span class=""street-address"">6916 E 30th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46219-1105</span>, <span class=""country-name"">USA</span>",His Place Eatery,1.0,4.5,True,True,True,food,
2,"<span class=""street-address"">6916 E 30th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46219-1105</span>, <span class=""country-name"">USA</span>",His Place Eatery,1.0,4.5,True,True,True,point_of_interest,
3,"<span class=""street-address"">6916 E 30th St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46219-1105</span>, <span class=""country-name"">USA</span>",His Place Eatery,1.0,4.5,True,True,True,establishment,
0,"<span class=""street-address"">1000 N Madison Ave</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Pho Lai Restaurant,1.0,4.3,False,True,True,restaurant,
1,"<span class=""street-address"">1000 N Madison Ave</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Pho Lai Restaurant,1.0,4.3,False,True,True,point_of_interest,
2,"<span class=""street-address"">1000 N Madison Ave</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Pho Lai Restaurant,1.0,4.3,False,True,True,food,
3,"<span class=""street-address"">1000 N Madison Ave</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Pho Lai Restaurant,1.0,4.3,False,True,True,establishment,
0,"<span class=""street-address"">2519 Albany St</span>, <span class=""locality"">Beech Grove</span>, <span class=""region"">IN</span> <span class=""postal-code"">46107</span>, <span class=""country-name"">USA</span>",El Morral Mexican Restaurant LLC,1.0,4.5,,True,True,restaurant,
1,"<span class=""street-address"">2519 Albany St</span>, <span class=""locality"">Beech Grove</span>, <span class=""region"">IN</span> <span class=""postal-code"">46107</span>, <span class=""country-name"">USA</span>",El Morral Mexican Restaurant LLC,1.0,4.5,,True,True,food,
2,"<span class=""street-address"">2519 Albany St</span>, <span class=""locality"">Beech Grove</span>, <span class=""region"">IN</span> <span class=""postal-code"">46107</span>, <span class=""country-name"">USA</span>",El Morral Mexican Restaurant LLC,1.0,4.5,,True,True,point_of_interest,
3,"<span class=""street-address"">2519 Albany St</span>, <span class=""locality"">Beech Grove</span>, <span class=""region"">IN</span> <span class=""postal-code"">46107</span>, <span class=""country-name"">USA</span>",El Morral Mexican Restaurant LLC,1.0,4.5,,True,True,establishment,
0,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,restaurant,
1,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,food,
2,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,bar,
3,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,point_of_interest,
